"employee_id","first_name","last_name","gender","email","phone_number","address","birthdate","ssn","job_title","department","salary","hire_date","hashed_password"
"69916","Tracy","White","Female","wblankenship@example.net","+1-280-530-1200","17156 Ashley Plaza Suite 002 West Raymond, WY 66169","1981-05-02","213-49-3168","Barrister's clerk","Finance","114298","2020-10-02","$2b$12$zhSvRbk/U5gsNMWT/W6jq.5NH5pTFE7heoXu691KnDHF0.45j1RIq"
"30901","Mark","Wilson","Female","johnsmichael@example.org","8658487218","37046 Peters Valleys Michaelaton, MD 40030","1980-02-17","767-59-9122","Education officer; museum","Finance","114690","2017-06-26","$2b$12$zK//5/GDIPndMe9d5n8JxeI6bYh4ZO/xXxwFZ3e0OuxHm1dOd5xxW"
"77054","John","Smith","Other","jeffrey70@example.com","(916)767-8082","PSC 4834, Box 8849 APO AA 65397","1971-04-01","124-90-5938","Designer; ceramics/pottery","Sales","59160","2021-03-23","$2b$12$lmqx3kg0WjWlkql4U0w9b.Wsjh/C86xG3CgphaPJsZg/I0ut6VRo6"
"29672","Kathleen","Mejia","Female","bartonstephanie@example.net","940.571.2561x590","34894 Shirley River Suite 015 East Kelly, MH 63366","1974-10-30","807-29-5735","Technical sales engineer","Engineering","141977","2019-03-13","$2b$12$eQWmTK8xWqiNs2F/bpB73eaUfoVfC4YDAnq2PEFF.FA/BRogzTWJe"
"51468","Scott","Cain","Female","dennismendoza@example.net","+1-856-241-1031x1123","3779 Barry Isle Suite 275 Joshuamouth, NY 79728","1976-07-26","859-80-4293","Lecturer; further education","Sales","74604","2016-10-02","$2b$12$kzN3zu3jI5YWl1z4IZGxruK6YosQ1QdSvnEjTihII0pVfH/7PhilC"
"78855","Kendra","Hunter","Other","kristawillis@example.net","382.438.0176x0820","6996 Gonzalez Freeway Ibarratown, MH 32615","1992-01-13","350-72-5306","Volunteer coordinator","Finance","95217","2017-12-27","$2b$12$/9yKAGV7irK6oJm7laP2Te.AmyNf.1tz6vXiOC./gDO3zrxg9yuWO"
"72741","Vickie","Benson","Female","arussell@example.org","541.774.6521x507","661 Stacey Cliff Nataliestad, IA 71486","1976-07-21","857-90-2674","Politician's assistant","Engineering","103326","2019-10-01","$2b$12$FBYjkswc4wprxLjp9r4Pi.XP5NMx9PkWIcOS1bWLJAFjT1PTYE072"
"55814","Robert","Gutierrez","Male","edward39@example.net","+1-978-203-9452x524","089 Mckinney Drive Apt. 193 Hannahton, DE 27092","1963-05-30","784-92-2160","Conservator; furniture","HR","88224","2023-03-30","$2b$12$Rq0rQfk0StSCkgpdBcqm.u8LSWix2Y77TtRqMkDTIlY/RvyS5Nd1u"
"80471","Anthony","Medina","Female","williamsjoel@example.org","001-630-509-1151x148","478 Nathan Meadow Suite 582 Garretthaven, AR 65114","1974-05-14","254-17-9144","Clinical embryologist","Engineering","79068","2015-09-25","$2b$12$Li./ytfrnVwJ0wraY6/O0.HG2A/365RAYMJjUKl.khR4GS6EScr2C"
"81526","Timothy","Medina","Male","wparker@example.net","+1-209-475-4506x2495","0748 Martinez Keys Suite 547 Lake Amyside, OK 73587","2001-05-21","120-69-6436","Insurance claims handler","Marketing","106886","2016-08-21","$2b$12$Gful6XOpJjI8QbJR9efGuOhEe01meQtWPKMY8yshoRKa5d2r61huG"
"47394","Joanne","Jones","Female","tammy28@example.org","(267)614-4049","694 Vasquez Plaza Charlesfurt, MO 13527","1983-02-03","362-62-3152","Production engineer","HR","90202","2015-07-19","$2b$12$Mg2JLMymjawQRZxlUKOgdOqN9n2Z22ooi5EiVAggfynAuCWgvxvBi"
"20645","Dan","Jones","Other","lmartinez@example.org","001-283-285-6702x0944","PSC 4512, Box 2701 APO AA 26875","1976-05-31","103-79-8849","Public relations officer","Marketing","85812","2020-07-21","$2b$12$qIMENh4SZGopIjfpPxNsMORAhPUMpg7A9lpdV2ZJL0F8.Z42V/zha"
"14981","Michael","Martin","Female","james04@example.org","4824255024","0995 Judith Corners Lisaberg, CO 67529","1974-11-06","473-19-0738","Tourism officer","Engineering","146648","2015-06-07","$2b$12$u0nv0Alyw2rBbYNAfm6wDeOqQqGMjxnOIBsNYpzShrwr0IX22z8i6"
"37666","Dale","Carter","Male","toddwalker@example.net","(995)397-9956","188 Daniel Mountains West John, OK 99335","1981-05-26","134-14-4019","Investment banker; operational","Finance","96730","2018-10-31","$2b$12$BhYoJKXcVQAhnZb8PSWxhOhvRYo/0vAvqxr.Pz4HQxVZWO0ZFP70q"
"93627","Michael","Fleming","Other","lorraine61@example.org","+1-732-598-2751x513","5653 Adams Estate Suite 984 East Jonathonland, MN 13208","1991-12-28","315-47-9975","Theatre stage manager","Marketing","94635","2018-05-04","$2b$12$QyrKudZ8VSziGpp0n9I5j.B7qRH2CMcPQx7J614Lzj/lbCIAxCkMu"
"51306","Lauren","Estrada","Female","vaughanshannon@example.com","(743)999-2734x46817","PSC 3610, Box 0495 APO AE 57510","1989-04-18","342-26-1874","Therapist; art","IT","68676","2021-08-04","$2b$12$w.PzG0V4o6I2cnZzR/8u0OVogGa6lg5aAM574iNyQ1DjnVvOzqPCW"
"41966","Joseph","Martinez","Female","richardsonanthony@example.org","(575)447-1208x925","872 Rodriguez Extension Apt. 731 Steelechester, DE 61414","1967-06-15","156-12-8042","Designer; exhibition/display","Engineering","58690","2016-08-23","$2b$12$kC.DSHO7KPgMRSz0saLZ2O4i1UvvYIL1lCig.j/pJ72UrqCVjwNsy"
"82698","Eddie","Contreras","Male","zmcbride@example.net","(720)840-0827","2901 Angela Trail Apt. 109 Leachton, MT 98079","1980-11-03","829-54-3655","Systems analyst","Finance","121145","2023-11-21","$2b$12$ugFuXfsw8V76LzC57vAmOu1vjEFN49CqJ6nwkr78rJCcI0I.4wXFG"
"92741","Mike","Meadows","Other","rebecca42@example.com","387-293-5105x1961","87146 Adam Wall Lake Amyview, MT 18100","1977-09-05","365-53-9915","Research scientist (maths)","IT","96323","2020-08-12","$2b$12$9/vrSTTwSyG/7YIydCF/4.dZTQQOzBRO5nr2CzH2W6vwSABYtHOwi"
"28767","Steven","Collins","Other","williamrodgers@example.com","001-714-409-8703","1850 Lane Forges West Lisashire, DC 30848","1971-02-23","036-75-9690","Quarry manager","Sales","61485","2023-03-21","$2b$12$HP8ZXb3dumYo6vxXrF5wj.mLC2ZxYXTayX4z.sf9SVU2UFx4HjYsK"
"84812","Richard","Ford","Female","lingram@example.org","(923)995-2232x308","31241 David Vista Suite 227 Ellenview, NE 78113","1972-09-05","109-42-1062","Horticulturist; amenity","HR","52782","2018-09-03","$2b$12$VbQj.vfW6lGHtDz9tj769.WOBRQjKppDIKHMGEaCSeQbHUPeOPTuG"
"35107","Leslie","Smith","Male","tiffanyhorn@example.net","+1-823-229-2575x989","007 Andrade Lakes Apt. 083 Michaelchester, PA 04611","1971-07-31","899-69-4370","Embryologist; clinical","IT","103781","2020-06-29","$2b$12$j65Bg8UaInd2YjBhF199Z.YNTjSU/UkuqCSVALYKpRAVxejNbLeQW"
"61589","Sergio","Medina","Other","zsutton@example.net","272.464.0101","USS Dean FPO AE 77269","1964-07-01","099-07-0795","Fish farm manager","Finance","138478","2023-04-28","$2b$12$0hu4TyNWnYLKbSG3mQc.MeOI6WACay0m5QZSs5fQ0NqotREwBnEtm"
"48169","Alexandria","Blevins","Other","rodriguezapril@example.com","(338)602-9184x3212","769 Jeremy Forges Ambershire, PW 98798","1959-12-02","520-03-0026","Engineer; broadcasting (operations)","Engineering","60266","2020-07-24","$2b$12$5Ax9W/zERd96pze.qlH8jOVG.qs89L1zRW6B3669YDaQZhb7/k5wC"
"74109","Darlene","Hill","Other","dakota02@example.org","(531)972-9354","9352 Tony Village Craigstad, MP 27333","1975-01-06","790-78-4001","Air broker","Sales","109526","2016-05-24","$2b$12$Ie4PGfKTCOuq6YRArlNncuD8scJgH8U7sRMJQe1c.ExDQfP6dPBeO"
"51525","Lisa","Roberts","Other","youngjared@example.net","001-805-540-0845","472 Manning Extensions Apt. 547 Sophiachester, CO 97373","1971-06-05","201-36-9344","Secretary/administrator","IT","128926","2021-11-03","$2b$12$2PYBC.wlJ1mZyzbAUMlte.Wy.EvtO0ycpYXv3..KtMcH91APQoSXK"
"98758","Meagan","Collins","Male","heatherhorne@example.com","(592)549-4829","266 Richardson Manors North James, LA 48967","1966-12-11","305-55-3374","Community education officer","Engineering","94510","2019-08-28","$2b$12$IDz29fLowH6NVDyN5SyomO90BRZvdBxFDE8Fs0zkCA1CxN7gGM.vi"
"28373","Brandy","Dickerson","Female","rwilliams@example.com","935.465.3680x3455","872 Alexis Row Suite 158 Audreytown, TX 41048","1984-12-31","333-37-9908","Teacher; early years/pre","Finance","149558","2020-02-28","$2b$12$RjSLUGuN991UA52eW08UE.pl8gLOFyuPnn38khhqDuBWxwKLHQvf."
"67499","Laurie","Hutchinson","Female","odonnellsteven@example.net","+1-502-262-9308x1748","16907 Rogers Stream Suite 139 Spencefurt, AZ 29694","1977-02-07","516-17-0240","Photographer","HR","104976","2017-12-18","$2b$12$xc/JpkjBZXIx7Y6YHIcWquEcti38LGtjVbHLWCvpCEw/Bb74/IcVC"
"72474","Donald","Castro","Female","lesterlarry@example.net","353.573.1054x090","9114 Elizabeth Keys Garciafurt, NY 44929","1966-02-18","781-69-4115","IT consultant","Finance","64474","2017-02-04","$2b$12$kpKIWWN.s4i5ZHxatDRuv.XrToJvEzzLdtStzyNCrSDlWvwRFtFde"
"84247","Carol","Walls","Female","vaughnmichael@example.org","001-736-352-5986","4409 Roberson Junction Suite 573 Reyesmouth, LA 91461","1961-12-07","325-36-1714","Teacher; English as a foreign language","Sales","134463","2016-09-21","$2b$12$X5q98bDVXD0IIu8nuqOysubfjS5dzLn4y9wzclgpcv8SfYXf3GLK."
"59049","Caleb","Montgomery","Other","hernandezrebecca@example.org","(743)718-5256","01501 Martin Shoal North Lisa, ND 51952","1967-11-01","443-72-9324","Publishing copy","Sales","101384","2023-04-28","$2b$12$04v2gsBSoLjA1i0pz8k4au3QmPd.YdECzeKK/5KedY/D/tt8bxJM2"
"13361","Joseph","Rogers","Other","gabriela65@example.org","001-933-741-8597x68298","10750 Smith Branch South Angelahaven, CO 83275","1992-10-18","638-08-2083","Personnel officer","HR","47960","2020-10-05","$2b$12$q0wdieC2OB8aBksJ7AAgluCxum8zMl/ivFFOcBzV1EkRBokg6G94."
"74542","Brian","Dunn","Female","qallen@example.com","759.773.4524x4051","076 Anderson Fort Lake Charleshaven, SD 65447","1995-11-24","650-84-5284","Optometrist","Engineering","86293","2016-10-26","$2b$12$nCPcB838AzA8mHGsHuRgzu3K2NA7SKXNT7W/sqzdpYi44qZ/Dl88."
"34180","Stephanie","Cannon","Female","wlawrence@example.com","689.776.4607x83024","313 Joan Junction Tracyton, MA 42310","1962-04-11","090-60-9627","Press photographer","Engineering","103418","2015-11-14","$2b$12$QltFLxA5BT7scuCSt2a1TuZ2HJ.w8piCGNIYjrD5Zc8A0XvIhcxkq"
"96769","Jennifer","Sanders","Other","davisbrittany@example.com","+1-700-960-2453x58629","4299 Morgan Point Apt. 030 Jasonport, PW 93251","1968-12-30","061-74-8453","Geoscientist","Sales","73396","2018-06-06","$2b$12$2cbHRBNrGCw4uwc21feqF.FJQ.hqforJrlQ7CJ3ueY4dsE8QgBngK"
"52878","Kevin","Duran","Female","brendawaller@example.com","355-369-8364","966 Hodges Shores North Christopher, OR 52186","1977-09-14","627-69-8735","Paramedic","Sales","116012","2015-03-30","$2b$12$wilpfyg9bmLuH8ustvsBw.2MThgWipHhnUWLh6uWuPBp4EMNf3jUW"
"93006","Paul","Tran","Male","anna22@example.org","(277)318-5980","82843 Hayes Forest Johnsonton, GU 09336","1985-10-17","508-43-1270","Engineer; manufacturing systems","Marketing","94837","2018-07-27","$2b$12$Z/JjjoBPn/3r9cicwAo2YORauXW23dqc2SUdy1KkC/BgU61DUZ4dW"
"40002","Miranda","Orr","Male","stephaniecook@example.com","001-471-772-5700","71889 Caitlin Freeway Apt. 994 Peggyfurt, UT 60254","1974-08-29","612-70-3158","Sport and exercise psychologist","Engineering","43620","2016-02-27","$2b$12$2D1l4CeyigBcTvSvPgGAW.dZCWudY05pou.wOYM8LveG2j4zzC2YG"
"76004","Jeanette","Rush","Male","angela74@example.net","342-430-1386","4257 Sanders Spring Apt. 173 North Amandaview, NY 74729","1995-05-29","483-33-4761","Retail banker","HR","69981","2023-11-28","$2b$12$NhAIy8ahWRzaEpR7254N0.yn6zBDNJJaZih0bLv27HRqly6D3N6TG"
"62816","Timothy","Swanson","Other","zross@example.net","962-684-6567","PSC 9359, Box 8521 APO AE 62974","1979-04-17","396-18-3832","Adult nurse","Marketing","115734","2018-11-09","$2b$12$PoJLAn6T5gDcwon7yKaOSuvKzGSB/EKKQrGweE/A64NqtFRcLkZWO"
"99397","Daniel","Goodman","Male","fpeters@example.org","001-291-727-0395","55376 Taylor Well New Regina, NM 22767","1986-06-22","418-35-4235","Recruitment consultant","Sales","109949","2016-03-19","$2b$12$MCCwYcQfbj6Kv7KKm4U1sufp.G2CpuqpnXY05W76I1zyelywZLZUW"
"35698","Cody","Wheeler","Female","eddiehamilton@example.com","(615)794-0100","21966 Monica Shoal Suite 945 Port Sarah, MS 36988","2004-12-19","277-16-3490","Surveyor; planning and development","Engineering","113991","2018-01-26","$2b$12$zTR2TnsTeLYyMH0Ey36KLuT/X8EEDefNIAZ64xEIVOYmXPy9KVS.i"
"79765","David","Mayo","Male","saragriffin@example.com","918-998-8057x2647","804 Garcia Groves Port Gabriel, NM 32215","1961-06-20","278-14-2163","Warden/ranger","Finance","140662","2017-02-02","$2b$12$rAuMCsHxtOq2BQ5uPykvuuS6NkVuiy0daMbBqo4wTTJOZpZLEDDpW"
"73100","William","Foster","Other","dwang@example.org","269-927-8010x82829","306 Williams Meadow South Cynthia, NJ 82996","1969-03-25","624-02-5070","Scientist; research (maths)","Finance","133934","2023-10-27","$2b$12$qfV05pAX4qBAZJY6Z9wI5.Iuxupo3qfg2693mS4QsdLJI2BmuI8bG"
"56936","Christine","Hicks","Other","singletoncrystal@example.net","260-234-6871x07238","5542 Lawson Field Suite 287 East Bryan, PR 04789","1995-09-29","522-97-3854","Environmental education officer","HR","85049","2019-10-18","$2b$12$9P2FTMuNUngkLvEl2UUwzuqX9ro.eyBM1/MJFbwrWs8TmaNR2meDO"
"25269","Alyssa","Nelson","Male","emilyross@example.com","(298)851-0608","Unit 3681 Box 1118 DPO AP 49409","1993-06-03","863-86-8492","Retail banker","Sales","43635","2015-11-28","$2b$12$J9msRizZe7eJP.zCIJGFfeoxr.fVSqHFDWDFhpnzbZk.R2Wr.7eiq"
"14832","Daniel","West","Male","alicia47@example.com","734-229-6237","6425 Denise Burg Suite 105 Robertshire, MS 83714","1999-03-19","685-67-5756","Editor; magazine features","Finance","102385","2020-06-04","$2b$12$sJHLxVGGroEDF1dNLWMKVeDjwmKpAm2XhDL2gVFSRp6e3/CdWd4yq"
"91305","Suzanne","Scott","Male","theodorelogan@example.net","+1-972-496-4137","6450 Brandon Bridge Ashleymouth, MH 47320","1969-05-15","790-68-9163","Editor; commissioning","Marketing","78659","2020-07-25","$2b$12$kaJiibcqYsH34m2XoP0uauxb71Y.kVbHWFixK2EZDUSvnIz0XuP1m"
"39207","Alexandria","Mendoza","Female","fritzgina@example.org","982.604.0379","77585 James Shoals West Matthew, TN 51954","1969-01-19","587-85-3349","Fisheries officer","Marketing","63730","2015-03-26","$2b$12$X23zvArtA7mPFcTpmjGEm.HtpuLhGvRMeSoQoE5XOSqz7Seo2rFe6"
"48931","Nicole","Diaz","Male","millerkathleen@example.net","+1-697-862-0478x762","208 Hannah Plains Whiteside, CT 81559","1968-11-18","551-81-1091","Chiropractor","HR","66916","2017-09-27","$2b$12$A6R9eDjR7xOZVmH1yiuG3eE5T70FeZQP4q.P1R2.8o2eG.Pjo4m7O"
"35782","Seth","Stone","Male","dawnrosales@example.org","001-449-890-8118x706","PSC 6578, Box 8230 APO AE 96264","1961-03-28","843-87-1287","Horticultural therapist","Finance","73522","2022-08-08","$2b$12$QPTJxIegBw9y62UN0PWlB.IdOWwsaApwIXJP6QjEGjJR8idnVT/NK"
"37289","Joseph","Sullivan","Female","thomas32@example.com","001-802-533-2085x30756","790 Hatfield Unions Suite 789 Rhondafort, NV 33644","1970-07-31","846-89-5976","Stage manager","Sales","104759","2023-04-30","$2b$12$pq2KlMPehDfoMGh8PEM2W.65WFUHeNr9i.TV4N2yM7JgaS3vgNenS"
"51124","Bobby","Bryant","Female","mfernandez@example.net","939.886.1577","08693 Austin Mission Apt. 812 North Julie, FL 15395","1976-03-04","673-33-8424","Volunteer coordinator","Engineering","52420","2017-03-31","$2b$12$Xn1K2dW10Hpn4YpyKD22DuVtCf7jiDJz9kHqUhwnwu6oECt3a34yG"
"53205","Bradley","Stone","Female","acruz@example.net","5926266289","5572 Sarah Islands Lake Katrinaville, IL 50520","1966-04-05","303-41-0875","Advice worker","Finance","59089","2021-07-10","$2b$12$WZmUFvx8xRkEvacxuvzdjuiZ4c.yWVyENf4B80twCiPhdrWEF90.."
"45571","Jerry","Flores","Other","kyle40@example.com","888.518.4199x934","3264 Natalie Drive Suite 353 Skinnerborough, WV 96160","1971-08-06","170-76-2320","Barista","IT","96172","2020-06-16","$2b$12$rU7dmRek0vYnAENSF87VWulRb/Keuopz/U2inbQ1jYqNXnBTsJvnO"
"35614","Scott","Ward","Male","natalie90@example.org","(826)488-5272x516","061 Robert Garden Apt. 600 Cardenasstad, AL 64614","1959-07-01","288-51-0594","Careers adviser","Finance","75168","2017-12-14","$2b$12$YFTT4Y.VmMwj8ieOCQygwe8k1ErpWvCK3VKLSXGAmMcjA2YG320me"
"51690","Christopher","Zamora","Male","seanedwards@example.org","001-950-600-6320","36404 Susan Drive Christinefurt, MP 37906","2000-05-20","815-75-3500","Midwife","Marketing","98311","2021-07-10","$2b$12$U8aV96i7JY.dTLafhiBgY.1VrFil7djPiMzkwomVJaQsOZQ.HfixK"
"58478","Kayla","Long","Female","daniel66@example.com","001-989-340-2095x36532","87674 Atkinson Ridges North Jennifer, MN 22616","1965-05-22","033-91-9036","Engineer; automotive","Finance","42520","2015-05-31","$2b$12$QBbvu6nfO70RoDWWhN.aC.hg4T3PTcoEXZk36Kzl4UYgFKg7iNfWW"
